name,serving_wt,kcal,carbo,protein,fat,company
식빵,100,284,51.1,8.3,5.2, 
식빵,100,279,49.68,9.01,4.91, 
옥수수식빵,100,275,54.4,8.3,2.7, 
옥수수식빵,100,270,50.45,9.44,3.42, 
우유식빵,100,285,48.7,9.1,6, 
우유식빵,100,285,48.7,9.1,6, 
토스트식빵,100,293,54.4,9,4, 
토스트식빵,100,266,49.37,9.35,3.5, 
옥수수빵,100,314,48.1,7.2,10, 
옥수수빵,100,321,49.1,7.4,10.2, 
잼빵,100,297,54.5,6.6,5.8, 
잼빵,100,297,54.5,6.6,5.8, 
크로아상,100,448,43.9,7.9,26.8, 
크로아상,100,448,43.9,7.9,26.8, 
크로아상,100,448,43.9,7.9,26.8, 
크로아상,100,448,43.9,7.9,26.8, 
버터크로아상,100,405,45.8,8.2,21, 
버터크로아상,100,406,45.8,8.2,21, 
"밀가공(빵류),크림빵",100,274,45.5,6,7.7, 
"밀가공(빵류),크림빵",100,275,45.5,6,7.7, 
버터크림빵,100,383,46.2,8.2,18.4, 
버터크림빵,100,383,46.2,8.2,18.4, 
"밀가공(빵류),팥빵",100,293,52.5,7.6,6.1, 
"밀가공(빵류),팥빵",100,253,48.51,7.57,3.17, 
패이스트리,100,457,46.5,8.6,26.3, 
패이스트리,100,457,46.5,8.6,26.3, 
과일패이스트리,100,371,47.8,5.4,18.5, 
과일패이스트리,100,371,47.8,5.4,18.5, 
치즈패이스트리,100,374,37.2,8,21.9, 
치즈패이스트리,100,374,37.2,8,21.9, 
고기호빵,70,175.7,30.52,6.44,3.08, 
팥찐빵,100,244,51.6,7.3,0.9, 
팥찐빵,100,213,44.36,5.96,1.29, 
호밀빵,100,264,52.7,8.4,2.2, 
호밀빵,100,264,52.7,8.4,2.2, 
초코파이,100,428,67.59,4.29,15.57, 
초코파이,100,441,63.6,4.4,18.8, 
슈크림빵,70,170.8,18.48,4.27,2.38, 
와플,100,291,32.9,7.9,14.1, 
와플,100,291,32.9,7.9,14.1, 
와플잼,100,237,49.4,3.4,2.9, 
와플잼,100,287,57.3,4.8,4.2, 
와플커스터드크림,100,256,36,8.3,8.8, 
와플커스터드크림,100,252,38.1,7.3,7.9, 
팬케이크,100,227,28.3,6.4,9.7, 
팬케이크,100,227,28.3,6.4,9.7, 
카스텔라,100,299,59.46,6.91,3.72, 
카스텔라,100,324,55.1,6.7,8.5, 
감카스텔라,70,238,36.96,4.83,7.84, 
달걀커스타드,100,105,10.7,5,4.6, 
꽈배기,100,404,47.2,7.9,20.4, 
꽈배기,100,404,47.2,7.9,20.4, 
모닝빵,100,316,58.99,9.06,4.91, 
모닝빵,100,331,52.1,9.9,9.3, 
바게트빵,100,279,57.5,9.4,1.3, 
바게트빵,100,279,57.5,9.4,1.3, 
단호박소찐빵,100,239,52.4,5.4,0.9, 
단호박소찐빵,100,239,52.4,5.4,0.9, 
채소찐빵,100,231,37.3,8.1,5.5, 
채소찐빵,100,231,37.3,8.1,5.5, 
배케이크,100,296,43.5,6.2,10.8, 
배케이크,100,296,43.5,6.2,10.8, 
채소크로켓,100,301,31.2,7.1,16.4, 
채소크로켓,100,301,31.2,7.1,16.4, 
소프트비스킷,100,522,62.6,5.7,27.6, 
소프트비스킷,100,489,60.34,5.7,24.93, 
비스킷하드,100,432,77.8,7.6,10, 
비스킷하드,100,534,62.63,6.68,28.58, 
사과파이,100,304,32.7,4,17.5, 
사과파이,100,471,64.98,5.5,21, 
피칸파이,100,345,43.2,8,17.2, 
피칸파이,100,360,43.2,8,17.2, 
달걀치즈샌드위치,150,349.5,26.7,16.05,19.95, 
닭고기샌드위치,100,283,21.3,13.2,16.2, 
닭고기샌드위치,100,250,20.81,16.28,11.19, 
생선샌드위치,100,273,26,10.7,14.4, 
생선샌드위치,100,257,26.69,10.29,12.45, 
소고기샌드위치,100,249,24.1,15.5,9.9, 
소고기샌드위치,100,244,22.21,15.17,10.3, 
햄치즈샌드위치,100,218,24.8,7.4,9.9, 
햄치즈샌드위치,100,218,24.8,7.4,9.9, 
샌드위치,150,181.5,1.8,12.75,3, 
센베이,100,398,84,7.5,3.5, 
센베이,100,398,84,7.5,3.5, 
"센베이,김",100,423,82.8,6.7,6.9, 
"센베이,김",100,420,82.8,6.7,6.9, 
쌀과자,100,474,78.2,3.2,15.9, 
쌀과자,100,469,78.2,3.2,15.9, 
찹쌀전병,100,446,79.6,7.8,10.7, 
찹쌀전병,100,446,79.6,7.8,10.7, 
튀김쌀과자,30,139.5,21.36,1.71,5.25, 
감자스넥,100,540,57.3,5.8,32, 
감자스넥,100,536,60.92,4.95,30.33, 
밀가루스넥,40,192.8,27.52,2.92,7.88, 
새우스넥,100,494,66.32,6.04,22.77, 
새우스넥,100,537,59.5,5.3,30.9, 
옥수수스넥,100,526,65.3,5.2,27.1, 
옥수수스넥,100,520,65.73,5.25,26.27, 
초코볼,100,501,70.2,4.3,22.5, 
초코볼,100,501,70.2,4.3,22.5, 
콘칩,100,518,63,6,28.4, 
콘칩,100,538,56.9,6.17,33.36, 
팝콘,100,536,57.6,7.6,30.6, 
팝콘,100,536,57.6,7.6,30.6, 
"스넥과자,유아용",30,129.9,20.13,3.54,3.96, 
웨하스,100,521,65.6,4.1,26.9, 
웨하스,100,521,65.6,4.1,26.9, 
땅콩버터쿠키,100,476,58.9,9.6,23.6, 
땅콩버터쿠키,100,493,67.97,8.36,20.87, 
초코칩쿠키,100,494,71.38,5.92,20.55, 
초코칩쿠키,100,526,64.7,5,27.5, 
버터쿠키,100,467,68.9,6.1,18.8, 
버터쿠키,100,512,66.47,6.37,24.52, 
약과,100,422,71.7,3.8,13.3, 
약과,100,422,71.7,3.8,13.3, 
크랙커,100,513,58.8,7,27.8, 
크랙커,100,513,58.8,7,27.8, 
땅콩샌드,100,496,56.7,12.4,25.1, 
땅콩샌드,100,524,64.23,7.66,26.24, 
치즈샌드,100,490,58.8,8.9,24.4, 
치즈샌드,100,497,68.24,6.08,22.23, 
튀김용옥수수,100,388,76.3,11.5,4.1, 
튀김용옥수수,100,289,76.3,11.5,4.1, 
모나카,100,346,82.62,3.35,0.29, 
모나카,100,335,77.2,3.3,1.4, 
당근케이크,70,290.5,55.44,3.57,6.86, 
"밀가공(빵류),케이크,롤",100,365,48.1,7.5,16.5, 
"밀가공(빵류),케이크,롤",100,369,39.24,7.51,20.22, 
블루베리생크림케이크,100,280,24.39,3.03,18.88, 
블루베리생크림케이크,100,249,32.2,2.9,12.1, 
쇼튼드케이크,100,344,47.1,7.4,14, 
쇼튼드케이크,100,327,43.6,7.1,13.8, 
스펀지케이크,100,352,47.2,6.6,15.2, 
스펀지케이크,100,352,47.2,6.6,15.2, 
엔젤푸드케이크,100,258,57.8,5.9,0.8, 
엔젤푸드케이크,100,258,57.8,5.9,0.8, 
초콜렛케이크,100,417,49.31,5.23,22.09, 
초콜렛케이크,100,453,40.2,4.7,30.4, 
치즈케이크,100,321,25.5,5.5,22.5, 
치즈케이크,100,331,28.82,5.87,21.32, 
컵케이크,70,213.5,47.04,3.01,2.59, 
파운드케이크,100,408,49.65,5.66,20.71, 
파운드케이크,100,414,46.7,5.6,22.8, 
과일케이크,100,323,61.6,2.9,9.1, 
과일케이크,100,324,61.6,2.9,9.1, 
크로켓,100,307,29.7,6,18.2, 
크로켓,100,307,29.7,6,18.2, 
"감자크로켓,냉동",100,164,25.3,4.6,4.9, 
"감자크로켓,냉동",100,164,25.3,4.6,4.9, 
"채소크로켓,냉동",100,264,34,3,12.9, 
"채소크로켓,냉동",100,264,34,3,12.9, 
"크림크로켓,냉동",100,159,20.9,4.7,6.3, 
"크림크로켓,냉동",100,159,20.9,4.7,6.3, 
바닐라우유푸딩,100,115,19.7,2.7,2.9, 
바닐라우유푸딩,100,114,19.7,2.7,2.9, 
커스터드푸딩,100,126,14.7,5.5,5, 
