name,serving_wt,kcal,carbo,protein,fat,company
쇠고기말이쌈밥,150,203.72,27.5,11.24,6.09, 
쌀밥,200,272,66.4,6,0.2, 
쌈밥,316.51,315.05,57.6,13.23,3.64, 
영양밥,174.1,321.6,63.65,6.3,5.07, 
고등어강정,65,154.59,10.1,7.66,9.17, 
과일파이,100,182.06,38.71,2.8,2.46, 
꽃게강정,170.9,261.89,22.95,17.76,11.19, 
녹차스콘,60,184.59,31.24,4.39,4.79, 
녹차크레페,120,178.56,26.76,8,4.19, 
누룽지과자,122,344.45,47.96,8.34,14.99, 
다시마칩,40,61.13,10.22,1.61,2.43, 
단호박경단,69,162.87,30.57,3.59,3.33, 
두부샌드위치,195,190.4,22.25,8.31,9.67, 
"새우롤,월남쌈",105,141.26,22.91,7.15,2.47, 
롤피자,163,374.05,63.8,13.76,5.02, 
멸치누룽지과자,100,191.35,29.45,11.55,3.96, 
미니버거,79,123.41,8.29,10.18,5.5, 
미니타르트,94.5,314.11,20.72,3.16,23.72, 
고구마옥수수빵,75,160.75,23.32,7.85,4.52, 
블루베리치즈무스케익,126.5,422.28,40.25,5.55,27.07, 
돼지등심요리,138,293.83,5.95,17.83,21.02, 
사과와크림치즈를곁들인토스트,95,188.25,31.99,4.77,4.87, 
수퍼브리또,145,253.47,40.6,9.37,6.42, 
식빵,40,113.2,20.44,3.32,2.08, 
아보카도달걀샌드위치,65,152.41,20.23,5.74,5.06, 
야채빵,70,135.49,23.64,4.18,2.25, 
야채빵,70,129.5,24.5,4.2,1.82, 
야채칩,100,72.2,17.76,1.82,0.12, 
양송이버섯크레페,215.6,350.07,48.34,16.82,9.59, 
잡곡강정,45,153.4,29.12,5.45,2.43, 
잣호두강정,19,93.71,7.94,2.02,6.8, 
채소커리팬케익,313,253.81,31.64,15.02,7.26, 
채소팬케익,273.21,286.05,38.69,14.07,7.65, 
치킨샐러드샌드위치,72,193.62,23.32,8.7,7.34, 
크로와상샌드위치,75,137.62,13.5,5.11,7.08, 
클럽샌드위치,110,193.55,22.78,10.59,6.58, 
티라미수,56.4,189.86,10.55,1.79,15.59, 
산딸기컵케이크,81.6,255.51,21.62,3.4,17.41, 
오코노미야끼,130,263.87,39.53,15.44,3.19, 
현미크레이프,120,259.06,56.2,7.02,0.7, 
"스파게티,고기완자",120,148.24,13.82,9.07,5.88, 
구슬파스타,120,299.86,48.91,10.61,5.77, 
낙지볶음면,223.2,154.5,27.59,9.64,1.03, 
냉쌀국수,250,246.45,36.43,16.45,3.75, 
니고랭,135,228.89,35.91,11.35,3.81, 
땅콩소스스파게티,90,207.69,34.11,10.63,2.82, 
크림소스라비올리,356.3,769.29,102.08,39.41,19.49, 
토마토소스라비올리,392.5,339,55.93,14.48,6.44, 
미니그라탕,185,236.02,44.49,6.23,5.62, 
바지락볶음면,225,234.5,36.34,12.56,3.98, 
버섯리조또,999.6,619.65,87.17,14.19,23.09, 
가지라자냐,132.5,136.04,14.84,8.11,5.25, 
잣콩국수,430.7,478.72,60.99,18.13,18.3, 
시저샐러드,149,213.07,24.63,14.33,6.54, 
쌀국수,200,80.7,11.06,7.98,0.28, 
시금치당근수제비,320,235.74,42.18,9.63,2.05, 
사모사,80,155.96,20.03,7.83,4.96, 
호박프리타타,246.1,302.19,12.28,25.74,16.73, 
호박만두,146.7,211.16,34.53,6.13,4.84, 
야채스튜,165,87.04,14.77,3.32,2.46, 
검보스프,199.7,102.81,4.75,7.13,6.25, 
검은콩스프,219,228.13,16.75,15.31,13.12, 
고구마타락죽,332,362.81,37.32,7.14,21.48, 
단호박두부죽,275.6,92.66,11.96,6.53,3.83, 
단호박스프,200,102.08,15.98,3.08,3.86, 
대구크림스튜,125,186.36,4.44,28.08,5.54, 
대추죽,110,132.25,29.3,2.95,0.86, 
두부미네스트로네,200,117.32,6.06,13.86,4.66, 
송이미역죽,150,135.75,25.61,4.25,2.45, 
쇠고기스튜,239.5,99.7,5.92,11.74,3.4, 
완두콩스프,230,168.71,20.82,12.42,4.81, 
당근스프,200,84.2,13.24,2.32,3.22, 
토마토스튜,197.2,122.28,6.76,16.31,3.49, 
흑임자두부죽,160,164.14,23.55,7.04,4.77, 
굴두부국,151,49.51,3.43,4.82,2.85, 
도토리묵콩국,156.3,61.22,7.39,3.88,2.2, 
된장국,166,49.39,3.52,8.3,0.32, 
미역조랭이떡국,455,368.64,65.98,9.28,11.01, 
배추맑은국,150,43.1,3.21,4.98,1.77, 
버섯들깨탕,150,123.74,17.3,3.83,5.42, 
북어국,169.2,67.07,2.59,10.14,1.98, 
새우완자탕,150,86.81,9.35,10.01,1.01, 
연두부무순냉국,200,70.52,6.32,5.92,3.1, 
해산물샤브샤브,110.2,124.67,5.84,12.18,6.27, 
금태찜,240,73.8,7.58,10.92,0.7, 
단호박두부찜,57,37.98,5.29,2.09,1.64, 
단호박새우찜,215,202.4,38.57,11.07,3.57, 
닭고기편육,132.83,261.97,8.32,19.42,15.55, 
대하찜,125.1,109.39,2.39,20.43,1.83, 
사태떡찜,162.9,202.86,27.04,13.73,4.66, 
생선완자찜,175,212.47,29.89,20.11,0.7, 
생선찜채소말이,160,162.54,18.78,15.57,3.95, 
시금치달걀찜,140,305.61,49.97,12.33,4.69, 
쇠고기감자찜,191,183.57,16.37,12.87,7.32, 
영양달걀찜,100,76.01,7.11,5.66,3, 
오징어보쌈,85.5,46.16,1.83,8.1,0.71, 
꽁치양념구이,189.5,234.89,29.3,12.68,7.39, 
닭고기바비큐,194.4,184.12,14.41,13.32,8.83, 
등심배구이,70.6,97.17,3.83,7.98,5.22, 
로스트비프,148.4,220.36,5.7,14.56,14.2, 
미니떡갈비,155,144.93,13.38,14.77,4.03, 
포크커틀렛,89.5,228.97,7.51,13.8,15.2, 
돼지등심스테이크,284.1,387.63,7.93,20.4,26.28, 
비프스트로가노프,145,246.51,26.58,15.09,7.82, 
참치오븐구이,54.5,97.4,3.05,11.09,4.29, 
양송이버섯과포도주스를가미한등심구이,232.9,205.37,17.21,11.65,10.97, 
닭고기구이,176.2,239.24,8.67,18.24,14.82, 
종이에싸서구운도미(파필로테),99.8,104.12,2.14,13.7,4.52, 
중국식바비큐폭립,170,310.68,13.41,22.85,18, 
도미스테이크,275.1,289.79,7.37,23.03,14.99, 
쇠고기구이,170,182.68,9.89,21.08,6.32, 
치킨버거스테이크,133,127.97,9.6,21.27,0.73, 
카레두부스테이크,256,199.32,27.88,10.11,7.42, 
케이준닭요리,118.5,313.74,5.29,20,22.33, 
해산물프리타타,114,111.71,8.48,8.93,4.75, 
곶감샐러드,150,223.19,49.29,2.91,4.35, 
다시마전,80,79.18,13.16,4.37,1.58, 
단호박전,120.2,310.4,46.05,6.6,10.65, 
돼지고기찹쌀부침,158.4,343.28,48.04,13.35,10.04, 
두부달걀전,130,179.66,4.51,13.01,12.43, 
두부해산물꼬치구이,148,182.16,2.58,15.6,12.89, 
오징어전,139.9,173.21,16.76,10.59,8.8, 
치킨쇠고기꼬치,85,148.44,8.28,14.32,6.33, 
케첩완자,100,141.85,13.7,10.7,4.86, 
가지볶음,131.5,111.21,20.07,1.71,3.66, 
궁중떡볶음,150.8,203.9,38.65,6.26,3.38, 
김자반,61.3,45.22,10.42,4.79,0.91, 
꽃게볶음,100,108.73,10.03,10.36,2.91, 
돼지갈비볶음,120,151.15,6.55,12.04,8.42, 
돼지고기토마토두부볶음,150,157.16,7.94,9.96,9.71, 
브로콜리쇠고기볶음,130,123.9,13.87,10.28,4.13, 
섭산삼,86,233.03,36.96,4.68,8.24, 
소고기채소볶음,117.6,190.9,4.83,9.61,14.88, 
시금치돼지고기볶음,100,104.77,7.37,9.12,4.55, 
쌀국수볶음면,264.8,212.53,7.79,2.62,20.42, 
채소두부볶음,203.3,275.41,20.35,13.52,17.65, 
야채볶음,80,90.81,15.38,2.34,3.16, 
야채오믈렛,155,158.15,26.75,6.76,2.87, 
궁중떡볶이,185,217.45,43.31,5.68,2.57, 
칠리새우,93.7,175.99,17.31,10.78,6.91, 
토마토소스달걀볶음,60,111.22,10.08,4.39,5.9, 
팽이버섯야채볶음,130,82.58,10.86,2.55,4.37, 
해산물볶음,117.6,119.68,6.34,10.35,6.16, 
폭찹,175.5,295.7,4.23,18.64,20.99, 
화지타,132,196.55,26.08,8.62,6.48, 
고기조림,100,183.01,18.9,11.37,6.97, 
콩조림,69.2,96.31,10.68,7.45,3.69, 
돼지고기조림,70,115.71,4.98,8.55,6.86, 
두부튀김조림,115.5,221.52,14.4,6.99,16.27, 
콩비지조림,55.5,35.99,5.28,3.32,0.5, 
오징어케첩조림,206.8,152.68,9.29,20.06,4.34, 
고구마빠스,94,253.9,39.04,1.25,11.13, 
도라지튀김,56.5,134.65,23.85,2.4,3.93, 
도미튀김,60,88.31,8.43,10.04,1.73, 
멸치양념튀김,64.3,195.01,17.59,8.85,11.16, 
모듬탕수,116,116.59,26.53,5.73,1, 
삼색콩튀김,88,251.33,36.58,5.39,10.48, 
고구마크로켓,88,204.53,25.25,2.31,10.96, 
수삼당근정과,112,110.12,28.35,2.04,0.18, 
커틀렛,116,417.86,29.13,17.02,26.38, 
호두치킨,125,116.88,5.93,12.08,5.24, 
황태강정,68.9,232.32,22.77,18.92,6.55, 
감자냉채,123.4,44.26,9.06,1.74,0.37, 
과일요구르트샐러드,150,77.3,18.12,2.64,0.39, 
두부샐러드,202.8,246.4,17.22,13.02,14.46, 
구운닭고기샐러드,140,122.74,3.74,14.5,6.31, 
낙지냉채,204.9,226.66,18.42,10,14.38, 
니스와샐러드,105,91.99,5.12,7.97,4.36, 
닭고기샐러드,172.6,259.49,8.54,16.57,17.4, 
돼지고기수육부추무침,119.6,200.72,11.34,9.6,13.23, 
두부다시마말이,149.9,81.14,6.9,5.89,4.63, 
두부선,138.9,121.61,5.22,12.43,6.56, 
실곤약샐러드,120,96.56,7.09,7.09,4.98, 
상추겉절이,43.8,19.26,3.9,1.14,0.47, 
수삼냉채,85.5,38.37,9.49,1.23,0.25, 
스테이크샐러드,140,176.86,3.49,16.93,10.12, 
아보카도두부샐러드,207.45,426.23,8.34,11.55,38.86, 
국수샐러드,117,276.16,47.37,13.41,2.47, 
닭고기요리,171.3,78.58,6.44,4.45,4.49, 
얼갈이무침,138,71.47,6.68,4.68,4.06, 
연어냉채,95.01,128.92,7.41,9.57,6.75, 
오이초절임,83,194,19.27,0.85,13.6, 
오이선,89.1,67.5,7.09,5.38,2.54, 
해산물샐러드,147,127.57,3.48,17.68,4.59, 
즉석샐러드,72.5,76.39,6,1.36,5.52, 
카프라제,89.6,159.27,3.83,7.02,13.44, 
불고기샐러드,130,88.69,8.71,8.26,3.12, 
펜네파스타샐러드,102,212.82,34.18,7.4,4.85, 
참치샐러드,182.1,235.82,13.91,26.62,7.78, 
호두사과샐러드,80,109.55,13.7,1.23,6.48, 
양배추깻잎피클,64.5,15.38,3.86,0.43,0.08, 
오이피클,20,18.4,5.06,0.12,0.06, 
복숭아샤벳,270.1,146.26,39.19,1.57,0.3, 
서양식씨리얼(뮤즐리),105,158.6,25.76,5.25,4.76, 
식혜팥빙수,150,135.86,33.08,3.66,0.02, 
홍시쉐이크,120,69.72,18.29,1.15,0.56, 
우유생강차,200,108,15.66,5.98,2.82, 
복숭아화채,101,72.8,16.7,1.35,1.1, 
수박화채,210,125.83,28.37,3.4,0.74, 
과일젤리,160,140.45,34.99,1.31,0.18, 
두부양갱,82,66.63,11.9,2.84,1.68, 
딸기잼,20,48.6,12.58,0.08,0.02, 
고구마경단,100,208.96,44.01,2.8,3.56, 
고구마란,92,165.97,35.59,2.82,2.76, 
고구마쑥단자,80,149.93,32.7,3.93,1.14, 
고추장떡,103,250.36,41.24,6.86,5.8, 
김치떡,145,301.77,53.3,13.47,3.42, 
모듬옥수수,130,127.26,15,9.85,3.61, 
닭고기양배추쌈,184.7,194.43,8.96,14.76,11.38, 
참치소고기양상추쌈,120,180.72,24.79,9.31,5.26, 
낙지강회,104.5,51.89,6.96,6.71,0.46, 
오징어집,30,155.45,18.55,2.18,8.18,농심
오징어집,30,84.79,10.12,1.19,4.46,농심
감자깡,30,150,22,2,6,농심
감자깡,30,150,22,2,6,농심
후라이드치킨닭다리,30,155.45,18.55,1.64,8.18,농심
후라이드치킨닭다리,30,84.79,10.12,0.89,4.46,농심
핫숯불바베큐닭다리,30,152.73,18.55,2.18,7.64,농심
핫숯불바베큐닭다리,30,83.31,10.12,1.19,4.17,농심
"너구리,순한맛",120,600,96,10.8,19.2,농심
"너구리,순한맛",120,500,80,9,16,농심
"너구리,얼큰한맛",120,594,98.4,9.6,18,농심
"너구리,얼큰한맛",120,495,82,8,15,농심
신라면,120,526.8,66.72,10.68,21,농심
신라면,120,632.16,80.06,12.82,25.2,농심
새우탕큰사발,115,575,88.55,11.5,19.55,농심
새우탕큰사발,115,500,77,10,17,농심
육개장사발면,86,322.5,45.58,6.02,12.9,농심
육개장사발면,86,375,53,7,15,농심
김치큰사발면,112,537.6,84,10.08,17.92,농심
김치큰사발면,112,480,75,9,16,농심
튀김우동큰사발,111,543.9,81.03,8.88,19.98,농심
튀김우동큰사발,111,490,73,8,18,농심
별따먹자,30,46.36,6.27,0.55,2.18,농심
별따먹자콩고물맛,30,150,19.53,2.09,6.98,농심
별따먹자콩고물맛,30,104.65,13.63,1.46,4.87,농심
조청유과,30,155,18,0.8,9,농심
조청유과,30,155,18,0.8,9,농심
"자장면,용기면,짜장큰사발",80,340.8,47.12,6.56,13.2,농심
"자장면,용기면,짜장큰사발",80,272.64,37.7,5.25,10.56,농심
콘스틱,30,48,5.4,0.6,2.7,농심
알새우칩,30,46,6,0.2,2.4,농심
"과자,꿀꽈배기",30,144.9,19.8,1.86,6.12,농심
"과자,꿀꽈배기",30,43.47,5.94,0.56,1.84,농심
"과자,바나나킥",30,125.4,25.5,1.23,1.95,농심
"과자,바나나킥",30,37.62,7.65,0.37,0.59,농심
"과자,벌집핏자",30,160.2,17.34,1.56,9,농심
"과자,벌집핏자",30,48.06,5.2,0.47,2.7,농심
"과자,스위티",30,156.9,18.24,1.47,8.25,농심
"과자,스위티",30,47.07,5.47,0.44,2.48,농심
"과자,오징어집",30,156.3,18,1.95,8.31,농심
"과자,오징어집",30,46.89,5.4,0.59,2.49,농심
"과자,올리고고구마깡",30,147.9,18.96,1.77,6.75,농심
"과자,올리고고구마깡",30,44.37,5.69,0.53,2.03,농심
"과자,칼슘양파링",30,147.9,19.44,1.53,6.78,농심
"과자,칼슘양파링",30,44.37,5.83,0.46,2.03,농심
"과자,콘드로이친감자깡",30,146.1,19.53,1.86,6.54,농심
"과자,콘드로이친감자깡",30,43.83,5.86,0.56,1.96,농심
"과자,키토산자갈치",30,151.8,19.2,1.77,7.38,농심
"과자,키토산자갈치",30,45.54,5.76,0.53,2.21,농심
"과자,DHA새우깡",30,151.2,18.12,1.8,7.35,농심
"과자,DHA새우깡",30,45.36,5.44,0.54,2.21,농심
칩포테토오리지널,30,49.5,4.5,0.54,3.42,농심
칩포테토어니언,30,49.5,5.1,0.6,3,농심
칩포테토매콤달콤,30,170,16,1.5,11,농심
칩포테토매콤달콤,30,85,8,0.75,5.5,농심
새우깡,30,146.67,20,2,6.67,농심
새우깡,30,44,6,0.6,2,농심
매운새우깡,30,146.67,20,2,6.67,농심
매운새우깡,30,44,6,0.6,2,농심
쌀새우깡,30,150,19.5,1.5,7.5,농심
쌀새우깡,30,45,5.85,0.45,2.25,농심
꿀꽈배기,30,145,22,1,6,농심
꿀꽈배기,30,43.5,6.6,0.3,1.8,농심
땅콩꽈배기,30,146.25,21.75,1.5,6,농심
땅콩꽈배기,30,43.88,6.53,0.45,1.8,농심
매운꿀꽈배기,30,141.43,21.43,0.86,6,농심
매운꿀꽈배기,30,42.43,6.43,0.26,1.8,농심
자갈치,30,152.5,19.5,2,7.5,농심
자갈치,30,45.75,5.85,0.6,2.25,농심
포스틱,30,138.75,21.75,1.5,5.25,농심
포스틱,30,41.63,6.53,0.45,1.58,농심
닭다리후라이드,30,150,18,1.71,7.71,농심
닭다리후라이드,30,45,5.4,0.51,2.31,농심
닭다리핫숯불바베큐,30,150,18,1.71,7.71,농심
닭다리핫숯불바베큐,30,45,5.4,0.51,2.31,농심
고구마깡,30,143.33,21.33,1.33,6,농심
고구마깡,30,43,6.4,0.4,1.8,농심
양파깡,30,157.5,19.5,1.5,8.25,농심
양파깡,30,47.25,5.85,0.45,2.48,농심
벌집핏자,30,165,18,1.5,9.75,농심
벌집핏자,30,49.5,5.4,0.45,2.93,농심
벌집와플,30,145.71,20.57,0.86,6.86,농심
벌집와플,30,43.71,6.17,0.26,2.06,농심
양파링오리지날,30,142.5,20.25,1.5,6.75,농심
양파링오리지날,30,42.75,6.08,0.45,2.03,농심
양파링HOT&SPICY,30,145,21,1.5,6.5,농심
양파링HOT&SPICY,30,43.5,6.3,0.45,1.95,농심
바나나킥,30,126,25.8,1.2,1.92,농심
바나나킥,30,37.8,7.74,0.36,0.58,농심
인디안밥,30,150,20,2,7,농심
인디안밥,30,45,6,0.6,2.1,농심
아이스콘,30,147.5,20.5,1.5,7,농심
아이스콘,30,44.25,6.15,0.45,2.1,농심
쫄병매콤한맛,30,154.29,18,1.71,8.57,농심
쫄병매콤한맛,30,46.29,5.4,0.51,2.57,농심
쫄병바베큐,30,154.29,18,1.71,8.57,농심
쫄병바베큐,30,46.29,5.4,0.51,2.57,농심
조청유과,30,170,19,0.8,10,농심
조청유과,30,51,5.7,0.24,3,농심
수미칩오리지날,30,155.45,18.55,2.18,8.18,농심
수미칩오리지날,30,46.64,5.56,0.65,2.45,농심
수미칩어니언,30,150,19.64,2.18,7.09,농심
수미칩어니언,30,45,5.89,0.65,2.13,농심
수미칩허니머스타드,30,157.5,17.25,1.5,9,농심
수미칩허니머스타드,30,47.25,5.18,0.45,2.7,농심
칩포테토샤워크림어니언,30,165,17.5,1.5,10,농심
칩포테토샤워크림어니언,30,49.5,5.25,0.45,3,농심
감미칩,30,170,17,1,11,농심
감미칩,30,51,5.1,0.3,3.3,농심
츄파춥스,10,39,10,0,0,농심
츄파춥스,10,3.9,1,0,0,농심
츄파춥스미니,30,125.1,30,0,0,농심
츄파춥스미니,30,37.53,9,0,0,농심
츄파춥스XXL,30,108.6,27,0,0,농심
츄파춥스XXL,30,32.58,8.1,0,0,농심
츄파춥스크레모사,10,26,9,0,0.5,농심
츄파춥스크레모사,10,2.6,0.9,0,0.05,농심
칩포테이토어니언,30,170.44,16.53,1.36,10.98,농심
칩포테이토어니언,30,51.13,4.96,0.41,3.3,농심
농심포스틱,30,139.45,21.48,1.59,5.24,농심
농심포스틱,30,41.83,6.44,0.48,1.57,농심
사리곰탕컵면,80,262.3,41.97,5.25,8.39,농심
김치사발면,80,271.63,39.44,5.21,10.42,농심
오징어짬뽕큰사발,120,632.35,98.92,11.27,21.29,농심
우육탕큰사발면,80,272.7,41.74,5.01,9.46,농심
쌀국수소고기짜장면,120,454.69,89.06,9.38,6.56,농심
쌀국수소고기짜장면,120,426.27,83.5,8.79,6.15,농심
메밀소바,100,314.96,66.93,10.24,0.55,농심
메밀소바,100,248,52.7,8.06,0.43,농심
후루룩칼국수,120,408.25,90.31,9.9,0.74,농심
후루룩칼국수,120,505.05,111.72,12.24,0.92,농심
멸치칼국수,100,341.84,75.51,9.18,0.41,농심
멸치칼국수,100,348.81,77.05,9.37,0.42,농심
후루룩국수,120,417.39,90,11.74,0.91,농심
후루룩국수,120,544.42,117.39,15.31,1.19,농심
쌀국수설렁탕,120,413.11,88.52,11.8,1.18,농심
쌀국수설렁탕,120,406.34,87.07,11.61,1.16,농심
생생야끼우동화끈한맛,100,181.27,34.26,3.98,3.19,농심
생생야끼우동화끈한맛,100,72.22,13.65,1.59,1.27,농심
생생야끼우동데리야끼맛,100,193.23,33.86,4.38,4.38,농심
생생야끼우동데리야끼맛,100,76.98,13.49,1.75,1.75,농심
즉석곰탕,120,508.8,107.52,15.36,1.92,농심
올리브짜파게티,120,522.86,83.14,9.43,17.14,농심
올리브짜파게티,120,448.16,71.27,8.08,14.69,농심
농심감자면,120,512.82,72.82,11.28,19.49,농심
농심감자면,120,525.97,74.69,11.57,19.99,농심
찰비빔면,120,507.69,74.77,8.31,19.38,농심
찰비빔면,120,468.64,69.02,7.67,17.89,농심
고추비빔면,120,507.69,73.85,7.38,20.31,농심
고추비빔면,120,468.64,68.17,6.82,18.75,농심
채식주의순,120,510,81,11,16,농심
채식주의순,120,510,81,11,16,농심
얼큰한너구리,120,505,81,7,17,농심
얼큰한너구리,120,505,81,7,17,농심
신라면큰사발,114,490,76,8,17,농심
신라면큰사발,114,490,76,8,17,농심
사리곰탕큰사발면,80,285.41,44.4,4.61,9.8,농심
육개장큰사발면,80,273.45,42.47,5.24,9.31,농심
짜파게티큰사발면,80,288.78,43.71,5.2,10.41,농심
야채라면,120,420,91.2,10.8,1.2,농심
야채라면,120,504,109.44,12.96,1.44,농심
하모니,120,506.56,74.75,7.87,19.67,농심
하모니,120,498.25,73.53,7.74,19.35,농심
농심감자면,120,512.82,72.82,11.28,19.49,농심
농심감자면,120,615.38,87.38,13.54,23.38,농심
모듬해물탕면,120,518.4,83.52,9.6,16.32,농심
모듬해물탕면,120,622.08,100.22,11.52,19.58,농심
무파마탕면,120,496.72,81.64,9.84,14.75,농심
무파마탕면,120,596.06,97.97,11.8,17.7,농심
순한너구리,120,500,80,9,16,농심
순한너구리,120,600,96,10.8,19.2,농심
얼큰한너구리,120,515,81,9,17,농심
얼큰한너구리,120,618,97.2,10.8,20.4,농심
신라면,120,600,94.8,12,19.2,농심
안성탕면,120,513.6,80.64,10.56,16.32,농심
안성탕면,120,616.32,96.77,12.67,19.58,농심
오징어짬뽕,120,493.55,81.29,9.68,14.52,농심
오징어짬뽕,120,592.26,97.55,11.61,17.42,농심
사리곰탕면,120,518.18,80.73,12,16.36,농심
사리곰탕면,120,621.82,96.87,14.4,19.64,농심
진짜진짜,120,512.07,80.69,10.34,16.55,농심
진짜진짜,120,614.48,96.83,12.41,19.86,농심
육개장,116,515,77,11,18,농심
육개장,116,515,77,11,18,농심
육개장라면,116,597.4,89.32,12.76,20.88,농심
육개장라면,116,515,77,11,18,농심
멸치칼국수,100,341.84,75.51,9.18,0.41,농심
멸치칼국수,100,341.84,75.51,9.18,0.41,농심
사천요리짜파게티,120,538.69,82.34,10.51,18.39,농심
사천요리짜파게티,120,646.42,98.8,12.61,22.07,농심
올리브짜파게티,120,522.86,83.14,9.43,17.14,농심
올리브짜파게티,120,627.43,99.77,11.31,20.57,농심
찰비빔면,120,507.69,74.77,8.31,19.38,농심
찰비빔면,120,609.23,89.72,9.97,23.26,농심
농심우육탕면,80,341.46,54.63,5.85,11.06,농심
농심우육탕면,80,273.17,43.71,4.68,8.85,농심
야채라면,100,350,76,9,1,농심
야채라면,100,350,76,9,1,농심
생생우동봉지,100,160.08,32.02,4.35,1.58,농심
생생우동봉지,100,160.08,32.02,4.35,1.58,농심
생생우동데리야끼맛,100,187.25,34.66,3.98,3.59,농심
생생우동데리야끼맛,100,187.25,34.66,3.98,3.59,농심
생생우동화끈한맛,100,181.27,34.26,3.98,3.19,농심
생생우동화끈한맛,100,181.28,34.26,3.98,3.19,농심
둥지물냉면,100,301.24,68.32,6.21,0.37,농심
둥지물냉면,100,301.24,68.32,6.21,0.37,농심
둥지비빔냉면,100,308.64,65.43,6.79,2.04,농심
둥지비빔냉면,100,308.64,65.43,6.79,2.04,농심
김치큰사발,80,342.86,53.57,6.43,11.43,농심
김치큰사발,80,274.29,42.86,5.14,9.14,농심
너구리컵,120,541.94,79.35,7.74,21.29,농심
너구리컵,120,650.32,95.23,9.29,25.55,농심
너구리큰사발,120,556.76,77.84,9.73,22.7,농심
너구리큰사발,120,668.11,93.41,11.68,27.24,농심
무파마큰사발,80,346.43,53.57,7.14,11.43,농심
무파마큰사발,80,277.14,42.86,5.71,9.14,농심
사리곰탕큰사발,80,356.76,55.5,5.77,12.25,농심
사리곰탕큰사발,80,285.41,44.4,4.61,9.8,농심
새우탕컵,80,346.27,50.15,7.16,13.13,농심
새우탕컵,80,277.02,40.12,5.73,10.51,농심
새우탕큰사발,80,347.83,52.17,6.96,12.52,농심
새우탕큰사발,80,278.26,41.74,5.57,10.02,농심
신라면사발면(KAL),80,342.86,54.51,5.27,11.43,농심
신라면사발면(KAL),80,274.29,43.6,4.22,9.14,농심
신라면컵,65,185.25,27.3,2.6,7.15,농심
신라면컵,65,285,42,4,11,농심
신라면블랙컵,101,449.45,68.68,9.09,15.15,농심
신라면블랙컵,101,445,68,9,15,농심
안성탕면컵,80,345.45,53.33,6.06,12.12,농심
안성탕면컵,80,276.36,42.67,4.85,9.7,농심
오징어짬뽕컵,80,346.27,53.73,5.97,11.94,농심
오징어짬뽕컵,80,277.02,42.98,4.78,9.55,농심
우육탕큰사발,80,330.43,50.09,5.57,11.83,농심
우육탕큰사발,80,264.35,40.07,4.45,9.46,농심
육개장사발면,120,523.26,73.95,9.77,20.93,농심
육개장사발면,120,627.91,88.74,11.72,25.12,농심
튀김우동컵,80,406.45,52.9,5.16,19.35,농심
튀김우동컵,80,325.16,42.32,4.13,15.48,농심
튀김우동큰사발,80,356.76,52.61,5.77,13.69,농심
튀김우동큰사발,80,285.41,42.09,4.61,10.95,농심
짜파게티범벅,80,360,57.14,6.86,11.43,농심
짜파게티범벅,80,288,45.71,5.49,9.14,농심
짜파게티큰사발,80,364.23,55.28,6.5,13.01,농심
짜파게티큰사발,80,291.38,44.23,5.2,10.41,농심
사천짜파게티큰사발,80,372.17,53.57,6.26,14.61,농심
사천짜파게티큰사발,80,297.74,42.85,5.01,11.69,농심
하모니,120,506.56,74.75,7.87,19.67,농심
하모니,120,607.87,89.7,9.44,23.61,농심
생생우동용기,100,152.17,30.43,4.35,1.45,농심
생생우동용기,100,152.17,30.44,4.35,1.45,농심
얼큰한너구리,120,516.15,81,9.81,16.99,농심
얼큰한너구리,120,619.37,97.2,11.78,20.38,농심
무파마,120,519.41,81.7,10.5,16.74,농심
무파마,120,623.3,98.04,12.59,20.08,농심
둥지냉면매콤한맛비빔냉면,100,302.43,65.21,7.23,1.41,농심
둥지냉면매콤한맛비빔냉면,100,302.43,65.21,7.23,1.41,농심
V8토마토레몬,200,60.69,14.48,0.69,0,농심
V8토마토레몬,200,41.86,9.99,0.48,0,농심
웰치포도크랜베리,200,204.14,51.03,0,0,농심
웰치포도블루베리,200,102.07,25.52,0,0,농심
웰치포도블루베리,200,70.39,17.6,0,0,농심
카프리썬오렌지트로피칼,200,46.55,11.27,0,0,농심
V8야채주스,200,36.81,8.59,1.23,0,농심
V8야채주스,200,45.17,10.54,1.5,0,농심
V8토당주스,200,134,30,3,0.2,농심
V8당근레몬,200,84.14,18.62,0.69,0.76,농심
V8당근레몬,200,58.03,12.84,0.48,0.52,농심
웰치청포도주스,200,110,26,0.7,0.4,농심
웰치청포도주스,200,110,26,0.7,0.4,농심
웰치포도주스,200,127,30,1,0.3,농심
웰치포도주스,200,127,30,1,0.3,농심
웰치오렌지주스,200,103,21,2,1.2,농심
웰치오렌지주스,200,103,21,2,1.2,농심
V8토마토주스,200,32,7,1.5,0.4,농심
V8토마토주스,200,32,7,1.5,0.4,농심
카프리썬오렌지,200,60,15,0,0,농심
카프리썬오렌지,200,120,30,0,0,농심
카프리썬오렌지망고,200,60,15,0,0,농심
카프리썬오렌지망고,200,120,30,0,0,농심
카프리썬사파리,200,60,15,0,0,농심
카프리썬사파리,200,120,30,0,0,농심
카프리썬딸기키위,200,60,15,0,0,농심
카프리썬딸기키위,200,120,30,0,0,농심
카프리썬사과,200,60,15,0,0,농심
카프리썬사과,200,120,30,0,0,농심
카프리썬멀티비타민,200,60,15,0,0,농심
