id,name,serving_wt,kcal,carbo,protein,fat,company
5156,마늘빵,70.0,296.55,40.22,6.85,12.03, 
5157,마늘빵,70.0,236.83,30.22,5.72,10.62, 
5158,마늘빵(강원도),70.0,287.0,40.58,5.67,11.36, 
5159,마늘빵(경기도),70.0,283.5,39.04,6.56,11.23, 
5160,마늘빵(경상도),70.0,310.8,42.79,6.2,12.75, 
5161,마늘빵(서울),70.0,281.4,38.01,7.91,10.89, 
5162,마늘빵(전라도),70.0,311.5,41.83,7.36,12.73, 
5163,마늘빵(충청도),70.0,304.5,39.05,7.39,13.22, 
5164,모닝빵,70.0,231.86,36.44,6.9,6.5, 
5165,모닝빵,70.0,202.39,29.83,5.33,6.39, 
5166,모닝빵(강원도),70.0,234.5,36.16,7.04,6.89, 
5167,모닝빵(경기도),70.0,234.5,36.55,7.19,6.63, 
5168,모닝빵(경상도),70.0,228.2,36.66,6.56,6.16, 
5169,모닝빵(서울),70.0,235.9,36.41,6.74,7.07, 
5170,모닝빵(전라도),70.0,227.5,35.81,6.92,6.29, 
5171,모닝빵(충청도),70.0,229.6,37.04,6.98,5.96, 
5172,버터크림빵,70.0,268.28,32.36,5.72,12.88, 
5173,버터크림빵,70.0,205.8,23.52,3.92,10.78, 
5174,버터크림빵(강원도),60.0,246.0,29.62,4.1,12.34, 
5175,버터크림빵(경기도),60.0,243.0,27.65,4.02,12.91, 
5176,버터크림빵(경상도),60.0,234.6,27.77,4.3,11.83, 
5177,버터크림빵(서울),60.0,196.2,25.67,4.75,8.25, 
5178,버터크림빵(전라도),60.0,234.0,26.57,7.58,10.81, 
5179,버터크림빵(충청도),60.0,226.2,29.13,4.69,10.14, 
5180,페이스트리빵,70.0,319.59,32.52,5.99,18.4, 
5181,페이스트리빵(강원도),70.0,322.0,31.53,5.77,19.2, 
5182,페이스트리빵(경기도),70.0,317.1,32.6,5.92,18.13, 
5183,페이스트리빵(경상도),70.0,325.5,32.99,5.51,19.08, 
5184,페이스트리빵(서울),70.0,313.6,33.78,6.59,16.87, 
5185,페이스트리빵(전라도),70.0,320.6,32.43,6.06,18.53, 
5186,페이스트리빵(충청도),70.0,318.5,31.77,6.1,18.56, 
5187,카스텔라,70.0,235.1,36.28,5.44,7.58, 
5188,카스텔라,70.0,158.76,30.87,2.94,2.94, 
5189,카스텔라(강원도),70.0,223.3,40,5.1,4.77, 
5190,카스텔라(경기도),70.0,235.2,37,5.58,7.18, 
5191,카스텔라(경상도),70.0,236.6,33.28,5.44,9.08, 
5192,카스텔라(서울),70.0,242.2,35.36,5.53,8.72, 
5193,카스텔라(전라도),70.0,240.8,35.67,5.7,8.33, 
5194,카스텔라(충청도),70.0,233.1,36.39,5.29,7.39, 
5195,햄치즈샌드위치,200.0,436.52,49.65,14.83,19.84, 
5196,햄치즈샌드위치(강원도),200.0,420.0,40.44,16.5,21.42, 
5197,햄치즈샌드위치(경기도),200.0,458.0,48.39,15.74,22.43, 
5198,햄치즈샌드위치(경상도),200.0,456.0,54.12,13.93,20.44, 
5199,햄치즈샌드위치(서울),200.0,380.0,43.16,15.89,15.89, 
5200,햄치즈샌드위치(전라도),200.0,424.0,61.01,11.69,14.72, 
5201,햄치즈샌드위치(충청도),200.0,482.0,50.78,15.27,24.16, 
5202,과자,30.0,46.5,5.7,0.6,2.4, 
5203,센베이,30.0,34.65,7.88,0.63,0, 
5204,호두과자,30.0,30.34,4.57,0.63,1.06, 
5205,생크림케이크,100.0,278.07,27.59,3.9,16.9, 
5206,생크림케이크(강원도),100.0,287.0,29.96,4.03,16.74, 
5207,생크림케이크(경기도),100.0,286.0,25.62,3.71,18.75, 
5208,생크림케이크(경상도),100.0,267.0,30.46,3.43,14.59, 
5209,생크림케이크(서울),100.0,257.0,23.86,3.12,16.6, 
5210,생크림케이크(전라도),100.0,288.0,26.83,5.11,17.78, 
5211,생크림케이크(충청도),100.0,284.0,28.82,3.97,16.97, 
5212,초콜릿케이크,100.0,420.24,43.6,5.31,24.96, 
5213,초콜릿케이크(강원도),100.0,387.0,38.78,5.43,23.33, 
5214,초콜릿케이크(경기도),100.0,433.0,43.98,5.31,26.22, 
5215,초콜릿케이크(경상도),100.0,406.0,43,5.01,23.82, 
5216,초콜릿케이크(서울),100.0,425.0,47.99,5.53,23.44, 
5217,초콜릿케이크(전라도),100.0,428.0,46.71,5.17,24.53, 
5218,초콜릿케이크(충청도),100.0,442.0,41.12,5.44,28.38, 
5219,치즈케이크,100.0,329.14,28.64,7.23,20.63, 
5220,치즈케이크(강원도),100.0,315.0,27.12,7.04,19.84, 
5221,치즈케이크(경기도),100.0,336.0,27.68,7.14,21.87, 
5222,치즈케이크(경상도),100.0,310.0,29.66,7.3,18.03, 
5223,치즈케이크(서울),100.0,341.0,27.84,7.63,22.13, 
5224,치즈케이크(전라도),100.0,342.0,28.6,7.17,22.06, 
5225,치즈케이크(충청도),100.0,331.0,30.93,7.07,19.87, 
5226,채소고로케,100.0,300.65,31.19,7.13,16.38, 
5227,채소고로케(강원도),100.0,274.0,34.13,7.18,12.05, 
5228,채소고로케(경기도),100.0,262.0,31.81,7.58,11.56, 
5229,채소고로케(경상도),100.0,317.0,28.63,7.34,19.24, 
5230,채소고로케(서울),100.0,303.0,30.06,6.68,17.3, 
5231,채소고로케(전라도),100.0,335.0,30.43,7.02,20.55, 
5232,채소고로케(충청도),100.0,314.0,32.07,6.96,17.57, 
5233,산자,30.0,109.8,24.66,0.69,0.93, 
5234,약과,30.0,119.7,25.47,1.26,1.44, 
5235,매작과,30.0,123.9,19.83,2.25,3.96, 
5236,송화다식,30.0,110.7,22.2,2.49,1.35, 
5237,유과,30.0,127.2,22.26,0.84,3.84, 
5238,자장면,650.0,796.5,133.63,19.77,20.32, 
5239,자장면(강원도),650.0,812.5,139.04,20.29,19.81, 
5240,자장면(경기도),650.0,819.0,128.56,22.18,24.32, 
5241,자장면(경상도),650.0,799.5,134.91,16.6,21.2, 
5242,자장면(서울),650.0,754.0,133.02,26.08,13.23, 
5243,자장면(전라도),650.0,832.0,127.19,19.03,27.59, 
5244,자장면(충청도),650.0,754.0,139.07,14.45,15.78, 
5245,간자장,650.0,824.54,134.22,22.33,22.03, 
5246,간자장(강원도),650.0,845.0,127.74,25.02,25.77, 
5247,간자장(경기도),650.0,819.0,131.48,22.99,22.69, 
5248,간자장(경상도),650.0,825.5,145.24,19.32,18.62, 
5249,간자장(서울),650.0,786.5,126.83,29.3,17.86, 
5250,간자장(전라도),650.0,832.0,138.59,20.17,22.02, 
5251,간자장(충청도),650.0,838.5,135.46,17.21,25.25, 
5252,삼선자장면,700.0,803.9,126.53,33.64,18.14, 
5253,삼선자장면(강원도),700.0,875.0,152.68,29.3,16.15, 
5254,삼선자장면(경기도),700.0,763.0,116.71,37.96,16.03, 
5255,삼선자장면(경상도),700.0,819.0,130.65,32.96,18.42, 
5256,삼선자장면(서울),700.0,784.0,129.61,31.27,15.86, 
5257,삼선자장면(전라도),700.0,833.0,113.71,38.91,24.91, 
5258,삼선자장면(충청도),700.0,749.0,115.84,31.42,17.43, 
5259,막국수,550.0,599.91,114.86,20.99,6.28, 
5260,막국수(강원도),550.0,594.0,115.29,16.81,7.23, 
5261,막국수(경기도),550.0,616.0,112.01,21.35,8.89, 
5262,막국수(경상도),550.0,577.5,122.15,16.87,2.56, 
5263,막국수(서울),550.0,572.0,104.63,26.77,5.23, 
5264,막국수(전라도),550.0,682.0,133,22.95,6.45, 
5265,막국수(충청도),550.0,561.0,102.09,21.21,7.32, 
5266,비빔국수,550.0,617.94,109.85,18.75,11.5, 
5267,비빔국수(강원도),550.0,704.0,107.83,19.45,21.59, 
5268,비빔국수(경기도),550.0,621.5,116.85,18.28,8.96, 
5269,비빔국수(경상도),550.0,572.0,110.95,17.48,6.7, 
5270,비빔국수(서울),550.0,539.0,99.17,19.72,7.3, 
5271,비빔국수(전라도),550.0,649.0,132.67,19.55,4.27, 
5272,비빔국수(충청도),550.0,621.5,91.67,18.03,20.19, 
5273,잔치국수,700.0,599.17,118.53,21.12,4.51, 
5274,잔치국수(강원도),700.0,567.0,114.82,19.24,3.2, 
5275,잔치국수(경기도),700.0,637.0,120.74,22.03,7.62, 
5276,잔치국수(경상도),700.0,644.0,131.24,22.04,3.34, 
5277,잔치국수(서울),700.0,574.0,105.88,22.01,6.97, 
5278,잔치국수(전라도),700.0,595.0,121.56,21.68,2.76, 
5279,잔치국수(충청도),700.0,574.0,116.95,19.73,3.16, 
5280,쫄면,450.0,601.78,109.57,18.4,9.99, 
5281,쫄면(강원도),450.0,643.5,102.05,17.59,18.19, 
5282,쫄면(경기도),450.0,598.5,117.47,18.26,5.98, 
5283,쫄면(경상도),450.0,540.0,103.94,17.63,5.95, 
5284,쫄면(서울),450.0,612.0,122.57,18.65,5.09, 
5285,쫄면(전라도),450.0,549.0,105.39,19.51,5.25, 
5286,쫄면(충청도),450.0,675.0,105.97,18.75,19.48, 
5287,물냉면,800.0,551.62,112.9,15.82,4.08, 
5288,물냉면(강원도),800.0,616.0,133.42,13.98,2.98, 
5289,물냉면(경기도),800.0,528.0,108.21,10.82,5.33, 
5290,물냉면(경상도),800.0,528.0,111.46,16.04,2.08, 
5291,물냉면(서울),800.0,608.0,105.36,29,7.66, 
5292,물냉면(전라도),800.0,576.0,120.22,12.3,5.15, 
5293,물냉면(충청도),800.0,456.0,98.74,12.8,1.27, 
5294,비빔냉면,550.0,622.74,122.4,19.54,6.11, 
5295,비빔냉면(강원도),550.0,676.5,136.14,17.59,6.97, 
5296,비빔냉면(경기도),550.0,533.5,97.56,15.19,9.44, 
5297,비빔냉면(경상도),550.0,616.0,124.33,22.83,3.05, 
5298,비빔냉면(서울),550.0,616.0,117.24,22.36,6.22, 
5299,비빔냉면(전라도),550.0,599.5,114.18,18.44,7.45, 
5300,비빔냉면(충청도),550.0,693.0,144.94,20.83,3.53, 
5301,열무냉면,800.0,525.49,97.52,20.84,5.78, 
5302,열무냉면(강원도),800.0,544.0,103.92,21.37,4.46, 
5303,열무냉면(경기도),800.0,536.0,92.25,20.29,9.81, 
5304,열무냉면(경상도),800.0,520.0,105.12,18.15,2.65, 
5305,열무냉면(서울),800.0,616.0,102.97,22.52,12.3, 
5306,열무냉면(전라도),800.0,400.0,80.15,11.76,3.42, 
5307,열무냉면(충청도),800.0,544.0,100.72,30.97,2.07, 
5308,회냉면,550.0,629.98,122,17.75,7.88, 
5309,회냉면(강원도),550.0,638.0,111.26,15.14,14.53, 
5310,회냉면(경기도),550.0,566.5,110.21,14.51,7.43, 
5311,회냉면(경상도),550.0,654.5,130.78,20.56,5.67, 
5312,회냉면(서울),550.0,643.5,123.17,20.92,7.47, 
5313,회냉면(전라도),550.0,638.0,129.6,14.58,6.99, 
5314,회냉면(충청도),550.0,638.0,127.01,20.81,5.22, 
5315,떡국,800.0,711.3,147.17,20.63,4.45, 
5316,떡국(강원도),800.0,712.0,142.96,18.47,7.18, 
5317,떡국(경기도),800.0,720.0,152.06,19.22,3.46, 
5318,떡국(경상도),800.0,672.0,138.6,18.57,4.78, 
5319,떡국(서울),800.0,760.0,157.57,24.34,3.41, 
5320,떡국(전라도),800.0,720.0,141.77,22.98,6.88, 
5321,떡국(충청도),800.0,688.0,150.08,20.2,1.02, 
5322,떡만둣국,700.0,624.92,110.71,20.06,11.32, 
5323,떡만둣국(강원도),700.0,602.0,102.05,17.56,13.59, 
5324,떡만둣국(경기도),700.0,595.0,98.84,19.22,13.64, 
5325,떡만둣국(경상도),700.0,567.0,104.51,19.28,7.99, 
5326,떡만둣국(서울),700.0,665.0,115.2,20.38,13.75, 
5327,떡만둣국(전라도),700.0,658.0,124.68,21.06,8.67, 
5328,떡만둣국(충청도),700.0,658.0,118.96,22.84,10.28, 
5329,라면,100.0,95.67,14.11,2.55,3.23, 
5330,짬뽕라면,100.0,91.93,12.26,2.83,3.51, 
5331,김치라면,650.0,552.32,86.21,13.77,16.93, 
5332,떡라면,700.0,743.16,118.57,19.3,21.3, 
5333,치즈라면,600.0,594.54,80,16.8,23.03, 
5334,고기만두,250.0,452.01,48.63,16.3,21.36, 
5335,고기만두(강원도),250.0,465.0,44.94,17.06,24.14, 
5336,고기만두(경기도),250.0,417.5,57.88,14.22,14.32, 
5337,고기만두(경상도),250.0,482.5,41.58,18.2,27.13, 
5338,고기만두(서울),250.0,430.0,51.42,16.6,17.68, 
5339,고기만두(전라도),250.0,420.0,45.65,16.13,19.21, 
5340,고기만두(충청도),250.0,495.0,50.35,15.61,25.71, 
5341,군만두,250.0,685.24,88.05,17.53,29.21, 
5342,군만두(강원도),250.0,692.5,86.41,18.14,30.53, 
5343,군만두(경기도),250.0,652.5,93.14,15.78,24.22, 
5344,군만두(경상도),250.0,667.5,95.71,15.24,24.95, 
5345,군만두(서울),250.0,710.0,83.62,19.17,33.22, 
5346,군만두(전라도),250.0,695.0,82.16,18.05,32.8, 
5347,군만두(충청도),250.0,690.0,87.29,18.79,29.56, 
5348,김치만두,250.0,420.53,57.57,15.58,14.21, 
5349,김치만두(강원도),250.0,445.0,49.82,18.51,19.04, 
5350,김치만두(경기도),250.0,405.0,62.17,14.17,11.12, 
5351,김치만두(경상도),250.0,422.5,50.72,15.48,17.49, 
5352,김치만두(서울),250.0,387.5,63.55,14.63,8.19, 
5353,김치만두(전라도),250.0,417.5,64.08,15.6,10.89, 
5354,김치만두(충청도),250.0,447.5,55.11,15.1,18.55, 
5355,물만두,120.0,156.67,18.69,6.76,6.1, 
5356,물만두(강원도),120.0,184.8,23.82,6.44,7.02, 
5357,물만두(경기도),120.0,165.6,22.2,6.37,5.67, 
5358,물만두(경상도),120.0,158.4,18.3,7.01,6.36, 
5359,물만두(서울),120.0,145.2,14.52,7.14,6.51, 
5360,물만두(전라도),120.0,142.8,17.6,6.54,5.11, 
5361,물만두(충청도),120.0,144.0,15.7,7.06,5.91, 
5362,만둣국,700.0,434.05,47.83,21.43,17.44, 
5363,만둣국(강원도),700.0,413.0,21.79,22.68,26.08, 
5364,만둣국(경기도),700.0,462.0,49.53,26.79,17.65, 
5365,만둣국(경상도),700.0,434.0,63.17,17.82,11.89, 
5366,만둣국(서울),700.0,455.0,54.82,22.6,16.52, 
5367,만둣국(전라도),700.0,441.0,50.55,19.71,17.93, 
5368,만둣국(충청도),700.0,399.0,47.13,18.98,14.6, 
5369,수제비,800.0,646.84,128.38,20.84,5.55, 
5370,수제비(강원도),800.0,624.0,122,22.78,5.32, 
5371,수제비(경기도),800.0,616.0,114.16,19.36,8.69, 
5372,수제비(경상도),800.0,632.0,119.17,19.46,8.94, 
5373,수제비(서울),800.0,616.0,127.1,18.44,3.8, 
5374,수제비(전라도),800.0,760.0,154.71,24.4,5.24, 
5375,수제비(충청도),800.0,624.0,133.15,20.6,1.31, 
5376,스파게티,100.0,354.62,77.06,11.2,0.18, 
5377,오일소스스파게티,400.0,646.74,89.42,19.56,23.43, 
5378,오일소스스파게티(강원도),400.0,624.0,85.18,15.97,24.45, 
5379,오일소스스파게티(경기도),400.0,612.0,89.84,18.66,19.88, 
5380,오일소스스파게티(경상도),400.0,628.0,97.56,21.04,17.28, 
5381,오일소스스파게티(서울),400.0,696.0,92.56,24.89,25.18, 
5382,오일소스스파게티(전라도),400.0,616.0,88.77,17.36,21.16, 
5383,오일소스스파게티(충청도),400.0,700.0,82.62,19.43,32.61, 
5384,크림소스스파게티,400.0,837.57,73.76,21.79,50.59, 
5385,크림소스스파게티(강원도),400.0,876.0,75.4,23.15,53.42, 
5386,크림소스스파게티(경기도),400.0,844.0,70.96,23.33,51.88, 
5387,크림소스스파게티(경상도),400.0,820.0,71.62,20.25,50.07, 
5388,크림소스스파게티(서울),400.0,892.0,72.66,22.24,57.11, 
5389,크림소스스파게티(전라도),400.0,784.0,75.53,19.35,44.78, 
5390,크림소스스파게티(충청도),400.0,812.0,76.42,22.43,46.31, 
5391,토마토소스스파게티,500.0,642.58,93.2,24.35,19.15, 
5392,토마토소스스파게티(강원도),500.0,645.0,90.06,27.01,19.4, 
5393,토마토소스스파게티(경기도),500.0,655.0,92.36,24.29,21.21, 
5394,토마토소스스파게티(경상도),500.0,710.0,94.31,30.84,23.45, 
5395,토마토소스스파게티(서울),500.0,625.0,85.44,25.82,19.91, 
5396,토마토소스스파게티(전라도),500.0,570.0,97.45,16.74,12.72, 
5397,토마토소스스파게티(충청도),500.0,650.0,99.63,21.42,18.24, 
5398,해물크림소스스파게티,500.0,917.57,86.97,30.39,49.79, 
5399,해물크림소스스파게티(강원도),500.0,985.0,90.51,29.27,56.22, 
5400,해물크림소스스파게티(경기도),500.0,890.0,87.57,28.84,46.96, 
5401,해물크림소스스파게티(경상도),500.0,905.0,90.92,28.97,47.15, 
5402,해물크림소스스파게티(서울),500.0,995.0,83.06,33.8,58.55, 
5403,해물크림소스스파게티(전라도),500.0,885.0,82.89,32.88,46.82, 
5404,해물크림소스스파게티(충청도),500.0,850.0,86.91,28.62,43.06, 
5405,해물토마토소스스파게티,500.0,584.44,87.24,27.97,13.73, 
5406,해물토마토소스스파게티(강원도),500.0,635.0,88.56,29.82,17.98, 
5407,해물토마토소스스파게티(경기도),500.0,580.0,85.9,28.18,13.54, 
5408,해물토마토소스스파게티(경상도),500.0,595.0,87.43,26.89,15.56, 
5409,해물토마토소스스파게티(서울),500.0,595.0,87.25,26.93,15.14, 
5410,해물토마토소스스파게티(전라도),500.0,540.0,85.99,28.87,8.81, 
5411,해물토마토소스스파게티(충청도),500.0,565.0,88.35,27.16,11.37, 
5412,우동(일식),700.0,421.51,74.2,13.39,7.91, 
5413,우동(일식)(강원도),700.0,532.0,68.64,13.57,22.65, 
5414,우동(일식)(경기도),700.0,371.0,68.93,11.8,5.26, 
5415,우동(일식)(경상도),700.0,434.0,80.12,11,7.5, 
5416,우동(일식)(서울),700.0,420.0,74,17.33,6.3, 
5417,우동(일식)(전라도),700.0,385.0,75.34,14.27,3.13, 
5418,우동(일식)(충청도),700.0,385.0,78.16,12.39,2.6, 
5419,우동(중식),1000.0,648.47,85.37,29.45,21.02, 
5420,우동(중식)(강원도),1000.0,580.0,87.77,30.25,12.4, 
5421,우동(중식)(경기도),1000.0,640.0,99.9,32.51,12.77, 
5422,우동(중식)(경상도),1000.0,640.0,84.43,26.89,22.15, 
5423,우동(중식)(서울),1000.0,650.0,79.54,28.8,24.43, 
5424,우동(중식)(전라도),1000.0,660.0,87.91,34.54,19.02, 
5425,우동(중식)(충청도),1000.0,700.0,72.64,23.71,35.37, 
5426,김치우동,800.0,500.18,99.14,15.55,4.6, 
5427,김치우동(강원도),800.0,480.0,87.85,15.97,7.4, 
5428,김치우동(경기도),800.0,584.0,123.01,16.16,3.19, 
5429,김치우동(경상도),800.0,464.0,89.88,14.78,5.2, 
5430,김치우동(서울),800.0,464.0,94.5,16.02,2.01, 
5431,김치우동(전라도),800.0,520.0,103.14,15.41,4.84, 
5432,김치우동(충청도),800.0,488.0,96.49,14.95,4.96, 
5433,삼선우동,1000.0,691.66,105.9,47.94,8.48, 
5434,삼선우동(강원도),1000.0,650.0,120.73,38.39,1.43, 
5435,삼선우동(경기도),1000.0,750.0,92.51,66.65,12.38, 
5436,삼선우동(경상도),1000.0,690.0,103.58,41.09,11.82, 
5437,삼선우동(서울),1000.0,700.0,94.12,55.62,11.7, 
5438,삼선우동(전라도),1000.0,680.0,114.6,38.23,7.43, 
5439,삼선우동(충청도),1000.0,690.0,109.86,47.66,6.12, 
5440,짬뽕,1000.0,687.62,100.59,28.17,19.18, 
5441,짬뽕(강원도),1000.0,660.0,112.96,24.03,12.46, 
5442,짬뽕(경기도),1000.0,680.0,105.34,26.5,16.52, 
5443,짬뽕(경상도),1000.0,710.0,93.67,30.72,23.9, 
5444,짬뽕(서울),1000.0,590.0,105.57,29.29,5.07, 
5445,짬뽕(전라도),1000.0,740.0,94.37,34.13,25.35, 
5446,짬뽕(충청도),1000.0,750.0,91.62,24.32,31.78, 
5447,굴짬뽕,900.0,680.67,115.69,32.87,9.6, 
5448,굴짬뽕(강원도),900.0,621.0,126.55,28.44,0.2, 
5449,굴짬뽕(경기도),900.0,684.0,113.65,32.16,11.18, 
5450,굴짬뽕(경상도),900.0,666.0,117.89,31.08,7.68, 
5451,굴짬뽕(서울),900.0,711.0,109.14,35.65,14.61, 
5452,굴짬뽕(전라도),900.0,684.0,111.13,30.04,12.76, 
5453,굴짬뽕(충청도),900.0,720.0,115.76,39.85,11.21, 
5454,삼선짬뽕,900.0,662.37,101.73,39.63,10.77, 
5455,삼선짬뽕(강원도),900.0,612.0,105.1,34.57,5.83, 
5456,삼선짬뽕(경기도),900.0,675.0,102.27,43.64,10.12, 
5457,삼선짬뽕(경상도),900.0,666.0,110.67,34.97,9.59, 
5458,삼선짬뽕(서울),900.0,648.0,97.75,41.06,9.91, 
5459,삼선짬뽕(전라도),900.0,684.0,91,42.89,16.91, 
5460,삼선짬뽕(충청도),900.0,684.0,103.62,40.64,12.27, 
5461,해물칼국수,900.0,628.26,123.9,22.8,4.61, 
5462,해물칼국수(강원도),900.0,612.0,125.07,19.47,3.53, 
5463,해물칼국수(경기도),900.0,630.0,128.93,23.76,1.94, 
5464,해물칼국수(경상도),900.0,585.0,112.07,20.02,6.11, 
5465,해물칼국수(서울),900.0,648.0,130.08,25.57,2.77, 
5466,해물칼국수(전라도),900.0,711.0,140.62,22.97,5.89, 
5467,해물칼국수(충청도),900.0,594.0,106.63,25.03,7.39, 
5468,콩국수,800.0,666.83,112.03,31.03,10.51, 
5469,콩국수(강원도),800.0,640.0,112.74,25.79,9.32, 
5470,콩국수(경기도),800.0,664.0,111.26,33.77,9.62, 
5471,콩국수(경상도),800.0,680.0,121.8,27.84,8.72, 
5472,콩국수(서울),800.0,712.0,111.08,31.9,15.94, 
5473,콩국수(전라도),800.0,664.0,111.42,26.95,11.96, 
5474,콩국수(충청도),800.0,640.0,103.86,39.94,7.49, 
5475,기스면,1000.0,606.93,89.79,37.82,10.72, 
5476,기스면(강원도),1000.0,550.0,81.37,33.19,10.44, 
5477,기스면(경기도),1000.0,570.0,92.85,34.67,6.71, 
5478,기스면(경상도),1000.0,670.0,101.18,40.64,11.3, 
5479,기스면(서울),1000.0,620.0,89.06,41.06,11.36, 
5480,기스면(전라도),1000.0,500.0,74.51,34.3,6.75, 
5481,기스면(충청도),1000.0,730.0,99.75,43.05,17.77, 
5482,메밀국수,600.0,611.72,117.8,19.64,6.88, 
5483,메밀국수(강원도),600.0,540.0,114.33,18.78,1.17, 
5484,메밀국수(경기도),600.0,600.0,122.24,22.98,1.94, 
5485,메밀국수(경상도),600.0,648.0,129.13,18.46,6.56, 
5486,메밀국수(서울),600.0,612.0,117.07,20.03,6.77, 
5487,메밀국수(전라도),600.0,648.0,94.22,16.73,22.9, 
5488,메밀국수(충청도),600.0,618.0,129.81,20.88,1.96, 
5489,울면,1000.0,728.86,128.18,37.46,7.37, 
5490,울면(강원도),1000.0,680.0,131.04,33.52,2.18, 
5491,울면(경기도),1000.0,700.0,118.71,41.12,6.66, 
5492,울면(경상도),1000.0,730.0,126.77,35.83,8.5, 
5493,울면(서울),1000.0,740.0,132.45,39.22,6.31, 
5494,울면(전라도),1000.0,720.0,123.81,33.68,10, 
5495,울면(충청도),1000.0,810.0,136.29,41.36,10.56, 
5496,막국수(평창),1000.0,571.59,109.77,19.99,5.84, 
5497,올챙이국수(정선),1500.0,565.78,111.62,11.24,8.26, 
5498,냉김치말이국수,600.0,302.53,52.02,12.92,4.75, 
5499,들깨칼국수,600.0,457.88,59.8,17.59,16.48, 
5500,쌀국수,600.0,320.32,55.07,15.6,4.18, 
5501,깨죽,800.0,515.35,79.31,13.66,15.94, 
5502,깨죽(강원도),800.0,544.0,97.33,13.68,10.95, 
5503,깨죽(경기도),800.0,424.0,78.1,10.38,7.94, 
5504,깨죽(경상도),800.0,448.0,79.57,10.88,9.7, 
5505,깨죽(서울),800.0,568.0,81.95,16.78,18.82, 
5506,깨죽(전라도),800.0,592.0,61.18,15.3,31.56, 
5507,깨죽(충청도),800.0,520.0,77.71,14.91,16.7, 
5508,소고기버섯죽,800.0,578.28,109.03,18.75,7.47, 
5509,소고기버섯죽(강원도),800.0,608.0,119.98,17.32,6.14, 
5510,소고기버섯죽(경기도),800.0,576.0,109.94,19.88,6.07, 
5511,소고기버섯죽(경상도),800.0,568.0,104.96,16.46,9.05, 
5512,소고기버섯죽(서울),800.0,592.0,104.51,17.52,11.62, 
5513,소고기버섯죽(전라도),800.0,568.0,112.49,19.84,4.47, 
5514,소고기버섯죽(충청도),800.0,560.0,102.28,21.46,7.44, 
5515,잣죽,700.0,874.48,155.28,19.18,19.63, 
5516,잣죽(강원도),700.0,672.0,102.81,17.47,21.08, 
5517,잣죽(경기도),700.0,1561.0,339.86,13.48,16.52, 
5518,잣죽(경상도),700.0,749.0,131.82,16.46,17.23, 
5519,잣죽(서울),700.0,812.0,122.07,19.43,27.71, 
5520,잣죽(전라도),700.0,672.0,96.26,32.84,16.91, 
5521,잣죽(충청도),700.0,784.0,138.82,15.39,18.32, 
5522,전복죽,800.0,590.82,114.31,12.57,9.25, 
5523,전복죽(강원도),800.0,624.0,115.12,13.34,12.58, 
5524,전복죽(경기도),800.0,616.0,120.98,7.32,11.18, 
5525,전복죽(경상도),800.0,584.0,106.39,10.85,12.42, 
5526,전복죽(서울),800.0,592.0,120.23,15.07,5.26, 
5527,전복죽(전라도),800.0,584.0,114.87,14.74,7.03, 
5528,전복죽(충청도),800.0,552.0,108.29,14.11,7.05, 
5529,참치죽,800.0,659.6,104.57,24.19,16.06, 
5530,참치죽(강원도),800.0,568.0,99.33,20.63,10.18, 
5531,참치죽(경기도),800.0,672.0,120.66,23.2,10.94, 
5532,참치죽(경상도),800.0,808.0,110.88,28.68,27.99, 
5533,참치죽(서울),800.0,592.0,96.63,26.98,10.83, 
5534,참치죽(전라도),800.0,720.0,98.43,22.42,26.42, 
5535,참치죽(충청도),800.0,592.0,101.47,23.26,10, 
5536,팥죽,600.0,498.06,97.8,18.43,3.68, 
5537,팥죽(강원도),600.0,492.0,100.85,18.38,1.61, 
5538,팥죽(경기도),600.0,534.0,102.78,16.82,6.07, 
5539,팥죽(경상도),600.0,492.0,100.86,18.35,1.59, 
5540,팥죽(서울),600.0,510.0,102.53,20.53,1.64, 
5541,팥죽(전라도),600.0,486.0,98.95,20.16,0.89, 
5542,팥죽(충청도),600.0,480.0,80.86,16.33,10.28, 
5543,호박죽,600.0,442.75,89.39,7.09,6.32, 
5544,호박죽(강원도),600.0,516.0,74.88,7.4,20.61, 
5545,호박죽(경기도),600.0,486.0,89.95,7.21,10.6, 
5546,호박죽(경상도),600.0,456.0,100.69,6.77,2.86, 
5547,호박죽(서울),600.0,408.0,88.97,9.17,1.46, 
5548,호박죽(전라도),600.0,390.0,88.72,6.04,1.55, 
5549,호박죽(충청도),600.0,402.0,93.11,5.93,0.82, 
5550,게살죽,800.0,564.83,107.35,17.9,7.09, 
5551,게살죽(강원도),800.0,600.0,114.6,16.9,7.78, 
5552,게살죽(경기도),800.0,552.0,108.34,17.74,4.94, 
5553,게살죽(경상도),800.0,568.0,100.16,15.97,11.26, 
5554,게살죽(서울),800.0,576.0,107.49,15.59,9.1, 
5555,게살죽(전라도),800.0,544.0,104.94,22.78,4, 
5556,게살죽(충청도),800.0,560.0,108.56,18.4,5.47, 
5557,닭죽(닭도가니)(성남),1000.0,1128.22,98.9,88.05,42.27, 
5558,백합죽(부안),700.0,455.28,84.75,16.46,5.6, 
5559,어죽(영동),800.0,552.06,100.82,20.37,7.48, 
5560,갈비탕,600.0,236.75,7.61,27.38,10.76, 
5561,갈비탕(강원도),600.0,228.0,7.23,23.72,11.9, 
5562,갈비탕(경기도),600.0,228.0,2.97,29.99,10.67, 
