,name,serving_wt,kcal,carbo,protein,fat,sugars,sodium,chol,saturated_fatty_acid,trans_fatty_acid,year,company
126,토스트식빵,100,266,49.37,9.35,3.5,4.15,456,0,1.49,N/A,2017,
127,옥수수빵,100,314,48.1,7.2,10,N/A,778,N/A,N/A,N/A,2011,
128,옥수수빵,100,321,49.1,7.4,10.2,N/A,795,62,2.8,N/A,2017,
129,잼빵,100,297,54.5,6.6,5.8,N/A,310,N/A,N/A,N/A,2011,
130,잼빵,100,297,54.5,6.6,5.8,35.4,310,0,-2.58,N/A,2017,
131,크로아상,100,448,43.9,7.9,26.8,N/A,470,N/A,N/A,N/A,2006,
132,크로아상,100,448,43.9,7.9,26.8,N/A,470,N/A,-12.16,N/A,2017,
133,크로아상,100,448,43.9,7.9,26.8,N/A,470,N/A,N/A,N/A,2011,
134,크로아상,100,448,43.9,7.9,26.8,N/A,470,N/A,-12.16,N/A,2017,
135,버터크로아상,100,405,45.8,8.2,21,N/A,744,N/A,N/A,N/A,2011,
136,버터크로아상,100,406,45.8,8.2,21,11.26,467,67,11.66,N/A,2017,
137,"밀가공(빵류),크림빵",100,274,45.5,6,7.7,N/A,160,N/A,N/A,N/A,2006,
138,"밀가공(빵류),크림빵",100,275,45.5,6,7.7,N/A,160,N/A,N/A,N/A,2017,
139,버터크림빵,100,383,46.2,8.2,18.4,N/A,319,N/A,N/A,N/A,2017,
140,버터크림빵,100,383,46.2,8.2,18.4,N/A,319,N/A,N/A,N/A,2011,
141,"밀가공(빵류),팥빵",100,293,52.5,7.6,6.1,N/A,168,0,N/A,N/A,2006,
142,"밀가공(빵류),팥빵",100,253,48.51,7.57,3.17,16.37,180,19.01,1.69,N/A,2017,
143,패이스트리,100,457,46.5,8.6,26.3,N/A,423,N/A,N/A,N/A,2017,
144,패이스트리,100,457,46.5,8.6,26.3,N/A,423,N/A,N/A,N/A,2011,
145,과일패이스트리,100,371,47.8,5.4,18.5,N/A,354,N/A,N/A,N/A,2011,
146,과일패이스트리,100,371,47.8,5.4,18.5,27.53,445,114,4.86,N/A,2017,
147,치즈패이스트리,100,374,37.2,8,21.9,N/A,450,N/A,N/A,N/A,2011,
148,치즈패이스트리,100,374,37.2,8,21.9,6.95,417,23,6.79,N/A,2017,
149,고기호빵,70,175.7,30.52,6.44,3.08,N/A,252,N/A,N/A,N/A,2006,
150,팥찐빵,100,244,51.6,7.3,0.9,N/A,222,N/A,N/A,N/A,2011,
151,팥찐빵,100,213,44.36,5.96,1.29,10.42,158,0,0.58,N/A,2017,
152,호밀빵,100,264,52.7,8.4,2.2,N/A,470,0,N/A,N/A,2011,
153,호밀빵,100,264,52.7,8.4,2.2,N/A,470,0,-0.9,N/A,2017,
154,초코파이,100,428,67.59,4.29,15.57,31.18,224,0,9.51,N/A,2017,
155,초코파이,100,441,63.6,4.4,18.8,N/A,209,N/A,N/A,N/A,2011,
156,슈크림빵,70,170.8,18.48,4.27,2.38,N/A,114.8,N/A,N/A,N/A,2006,
157,와플,100,291,32.9,7.9,14.1,N/A,511,69,N/A,N/A,2011,
158,와플,100,291,32.9,7.9,14.1,N/A,511,69,2.87,N/A,2017,
159,와플잼,100,237,49.4,3.4,2.9,N/A,37,N/A,N/A,N/A,2011,
160,와플잼,100,287,57.3,4.8,4.2,36.4,51,59,-1.55,N/A,2017,
161,와플커스터드크림,100,256,36,8.3,8.8,N/A,90,N/A,N/A,N/A,2011,
162,와플커스터드크림,100,252,38.1,7.3,7.9,15.1,65,170,-2.63,N/A,2017,
163,팬케이크,100,227,28.3,6.4,9.7,N/A,439,N/A,N/A,N/A,2011,
164,팬케이크,100,227,28.3,6.4,9.7,N/A,439,59,2.12,N/A,2017,
165,카스텔라,100,299,59.46,6.91,3.72,24.85,81,138.68,1.27,N/A,2017,
166,카스텔라,100,324,55.1,6.7,8.5,N/A,105,N/A,N/A,N/A,2011,
167,감카스텔라,70,238,36.96,4.83,7.84,N/A,11.2,N/A,N/A,N/A,2011,
168,달걀커스타드,100,105,10.7,5,4.6,N/A,61,N/A,N/A,N/A,2011,
169,꽈배기,100,404,47.2,7.9,20.4,N/A,431,N/A,N/A,N/A,2017,
170,꽈배기,100,404,47.2,7.9,20.4,N/A,431,N/A,N/A,N/A,2011,
171,모닝빵,100,316,58.99,9.06,4.91,11.33,260,8.77,2.33,N/A,2017,
172,모닝빵,100,331,52.1,9.9,9.3,N/A,394,N/A,N/A,N/A,2011,
173,바게트빵,100,279,57.5,9.4,1.3,N/A,620,0,N/A,N/A,2011,
174,바게트빵,100,279,57.5,9.4,1.3,1.8,620,0,-0.29,N/A,2017,
175,단호박소찐빵,100,239,52.4,5.4,0.9,N/A,280,N/A,N/A,N/A,2011,
176,단호박소찐빵,100,239,52.4,5.4,0.9,N/A,280,N/A,N/A,N/A,2017,
177,채소찐빵,100,231,37.3,8.1,5.5,N/A,409,N/A,N/A,N/A,2011,
178,채소찐빵,100,231,37.3,8.1,5.5,N/A,409,N/A,N/A,N/A,2017,
179,배케이크,100,296,43.5,6.2,10.8,N/A,277,N/A,N/A,N/A,2011,
180,배케이크,100,296,43.5,6.2,10.8,N/A,277,N/A,N/A,N/A,2017,
181,채소크로켓,100,301,31.2,7.1,16.4,N/A,403,N/A,N/A,N/A,2017,
182,채소크로켓,100,301,31.2,7.1,16.4,N/A,403,N/A,N/A,N/A,2011,
183,소프트비스킷,100,522,62.6,5.7,27.6,N/A,220,58,N/A,N/A,2011,
184,소프트비스킷,100,489,60.34,5.7,24.93,23.46,227,31.02,11.98,N/A,2017,
185,비스킷하드,100,432,77.8,7.6,10,N/A,320,10,N/A,N/A,2011,
186,비스킷하드,100,534,62.63,6.68,28.58,9.21,481,1.59,13.97,N/A,2017,
187,사과파이,100,304,32.7,4,17.5,N/A,260,0,N/A,N/A,2011,
188,사과파이,100,471,64.98,5.5,21,22.83,207,0,11.38,N/A,2017,
189,피칸파이,100,345,43.2,8,17.2,N/A,90,N/A,N/A,N/A,2006,
190,피칸파이,100,360,43.2,8,17.2,N/A,90,N/A,N/A,N/A,2017,
191,달걀치즈샌드위치,150,349.5,26.7,16.05,19.95,N/A,826.5,N/A,N/A,N/A,2011,
192,닭고기샌드위치,100,283,21.3,13.2,16.2,N/A,526,N/A,N/A,N/A,2011,
193,닭고기샌드위치,100,250,20.81,16.28,11.19,3.64,753,35,2.12,N/A,2017,
194,생선샌드위치,100,273,26,10.7,14.4,N/A,389,N/A,N/A,N/A,2011,
195,생선샌드위치,100,257,26.69,10.29,12.45,3.53,602,35,1.95,N/A,2017,
196,소고기샌드위치,100,249,24.1,15.5,9.9,N/A,570,N/A,N/A,N/A,2011,
197,소고기샌드위치,100,244,22.21,15.17,10.3,3.84,653,30,3.4,N/A,2017,
198,햄치즈샌드위치,100,218,24.8,7.4,9.9,N/A,451,N/A,N/A,N/A,2017,
199,햄치즈샌드위치,100,218,24.8,7.4,9.9,N/A,451,N/A,N/A,N/A,2011,
200,샌드위치,150,181.5,1.8,12.75,3,N/A,817.5,N/A,N/A,N/A,2006,
201,센베이,100,398,84,7.5,3.5,N/A,130,N/A,N/A,N/A,2011,
202,센베이,100,398,84,7.5,3.5,48.1,130,110,-0.92,N/A,2017,
203,"센베이,김",100,423,82.8,6.7,6.9,N/A,150,N/A,N/A,N/A,2006,
204,"센베이,김",100,420,82.8,6.7,6.9,N/A,150,N/A,N/A,N/A,2017,
205,쌀과자,100,474,78.2,3.2,15.9,N/A,224,N/A,N/A,N/A,2011,
206,쌀과자,100,469,78.2,3.2,15.9,N/A,224,N/A,N/A,N/A,2017,
207,찹쌀전병,100,446,79.6,7.8,10.7,N/A,144,N/A,N/A,N/A,2017,
208,찹쌀전병,100,446,79.6,7.8,10.7,N/A,144,N/A,N/A,N/A,2011,
209,튀김쌀과자,30,139.5,21.36,1.71,5.25,N/A,147,N/A,N/A,N/A,2011,
210,감자스넥,100,540,57.3,5.8,32,N/A,360,N/A,N/A,N/A,2011,
211,감자스넥,100,536,60.92,4.95,30.33,0,342,0,8.17,N/A,2017,
212,밀가루스넥,40,192.8,27.52,2.92,7.88,N/A,284,N/A,N/A,N/A,2011,
213,새우스넥,100,494,66.32,6.04,22.77,4,577,0,6.77,N/A,2017,
214,새우스넥,100,537,59.5,5.3,30.9,N/A,407,N/A,N/A,N/A,2011,
215,옥수수스넥,100,526,65.3,5.2,27.1,N/A,470,N/A,N/A,N/A,2011,
216,옥수수스넥,100,520,65.73,5.25,26.27,2.01,420,0,7.64,N/A,2017,
217,초코볼,100,501,70.2,4.3,22.5,N/A,54,N/A,N/A,N/A,2017,
218,초코볼,100,501,70.2,4.3,22.5,N/A,54,N/A,N/A,N/A,2011,
219,콘칩,100,518,63,6,28.4,N/A,616,N/A,N/A,N/A,2011,
220,콘칩,100,538,56.9,6.17,33.36,0.27,514,0,4.33,N/A,2017,
221,팝콘,100,536,57.6,7.6,30.6,N/A,784,N/A,N/A,N/A,2017,
222,팝콘,100,536,57.6,7.6,30.6,N/A,784,0,N/A,N/A,2011,
223,"스넥과자,유아용",30,129.9,20.13,3.54,3.96,N/A,57.6,N/A,N/A,N/A,2006,
224,웨하스,100,521,65.6,4.1,26.9,N/A,131,N/A,N/A,N/A,2017,
225,웨하스,100,521,65.6,4.1,26.9,N/A,131,5.5,N/A,N/A,2011,
226,땅콩버터쿠키,100,476,58.9,9.6,23.6,N/A,415,N/A,N/A,N/A,2011,
227,땅콩버터쿠키,100,493,67.97,8.36,20.87,22.42,346,6.84,9.97,N/A,2017,
228,초코칩쿠키,100,494,71.38,5.92,20.55,23.18,312,13.38,11.21,N/A,2017,
229,초코칩쿠키,100,526,64.7,5,27.5,N/A,207,N/A,N/A,N/A,2011,
230,버터쿠키,100,467,68.9,6.1,18.8,N/A,239,N/A,N/A,N/A,2011,
231,버터쿠키,100,512,66.47,6.37,24.52,16.45,226,25.86,13.4,N/A,2017,
232,약과,100,422,71.7,3.8,13.3,N/A,34,N/A,N/A,N/A,2011,
233,약과,100,422,71.7,3.8,13.3,N/A,34,N/A,N/A,N/A,2017,
234,크랙커,100,513,58.8,7,27.8,N/A,634,N/A,N/A,N/A,2017,
235,크랙커,100,513,58.8,7,27.8,N/A,634,N/A,N/A,N/A,2011,
236,땅콩샌드,100,496,56.7,12.4,25.1,N/A,710,N/A,N/A,N/A,2011,
237,땅콩샌드,100,524,64.23,7.66,26.24,14.64,195,0,12.99,N/A,2017,
238,치즈샌드,100,490,58.8,8.9,24.4,N/A,878,N/A,N/A,N/A,2011,
239,치즈샌드,100,497,68.24,6.08,22.23,14.69,539,0,13.24,N/A,2017,
240,튀김용옥수수,100,388,76.3,11.5,4.1,N/A,2,N/A,N/A,N/A,2011,
241,튀김용옥수수,100,289,76.3,11.5,4.1,N/A,2,N/A,N/A,N/A,2017,
242,모나카,100,346,82.62,3.35,0.29,36.58,64,0,0.08,N/A,2017,
243,모나카,100,335,77.2,3.3,1.4,N/A,69,N/A,N/A,N/A,2011,
244,당근케이크,70,290.5,55.44,3.57,6.86,N/A,396.9,N/A,N/A,N/A,2006,
245,"밀가공(빵류),케이크,롤",100,365,48.1,7.5,16.5,N/A,115,N/A,N/A,N/A,2006,
246,"밀가공(빵류),케이크,롤",100,369,39.24,7.51,20.22,17.41,162,131.05,7.72,N/A,2017,
247,블루베리생크림케이크,100,280,24.39,3.03,18.88,22.87,67,68.1,11.44,N/A,2017,
248,블루베리생크림케이크,100,249,32.2,2.9,12.1,N/A,94,116.8,N/A,N/A,2011,
249,쇼튼드케이크,100,344,47.1,7.4,14,N/A,82,N/A,N/A,N/A,2011,
250,쇼튼드케이크,100,327,43.6,7.1,13.8,24.8,79,140,-5.26,N/A,2017,
251,스펀지케이크,100,352,47.2,6.6,15.2,N/A,172,N/A,N/A,N/A,2017,
252,스펀지케이크,100,352,47.2,6.6,15.2,N/A,172,N/A,N/A,N/A,2011,
253,엔젤푸드케이크,100,258,57.8,5.9,0.8,N/A,749,N/A,N/A,N/A,2011,
254,엔젤푸드케이크,100,258,57.8,5.9,0.8,N/A,749,0,N/A,N/A,2017,
255,초콜렛케이크,100,417,49.31,5.23,22.09,38.19,146,44.44,15.18,N/A,2017,
256,초콜렛케이크,100,453,40.2,4.7,30.4,N/A,129,N/A,N/A,N/A,2011,
257,치즈케이크,100,321,25.5,5.5,22.5,N/A,207,N/A,N/A,N/A,2011,
258,치즈케이크,100,331,28.82,5.87,21.32,17.61,240,156.65,12.33,N/A,2017,
259,컵케이크,70,213.5,47.04,3.01,2.59,N/A,289.1,N/A,N/A,N/A,2011,
260,파운드케이크,100,408,49.65,5.66,20.71,17.43,207,89.32,10.73,N/A,2017,
261,파운드케이크,100,414,46.7,5.6,22.8,N/A,158,N/A,N/A,N/A,2011,
262,과일케이크,100,323,61.6,2.9,9.1,N/A,270,N/A,N/A,N/A,2011,
263,과일케이크,100,324,61.6,2.9,9.1,27.42,101,5,1.05,N/A,2017,
264,크로켓,100,307,29.7,6,18.2,N/A,346,N/A,N/A,N/A,2017,
265,크로켓,100,307,29.7,6,18.2,N/A,346,N/A,N/A,N/A,2011,
266,"감자크로켓,냉동",100,164,25.3,4.6,4.9,N/A,290,N/A,N/A,N/A,2011,
267,"감자크로켓,냉동",100,164,25.3,4.6,4.9,N/A,290,2,0.94,N/A,2017,
268,"채소크로켓,냉동",100,264,34,3,12.9,N/A,477,N/A,N/A,N/A,2011,
269,"채소크로켓,냉동",100,264,34,3,12.9,N/A,477,N/A,N/A,N/A,2017,
270,"크림크로켓,냉동",100,159,20.9,4.7,6.3,N/A,270,N/A,N/A,N/A,2011,
271,"크림크로켓,냉동",100,159,20.9,4.7,6.3,N/A,270,N/A,N/A,N/A,2017,
272,바닐라우유푸딩,100,115,19.7,2.7,2.9,N/A,286,11,N/A,N/A,2011,
273,바닐라우유푸딩,100,114,19.7,2.7,2.9,18.03,286,11,1.74,N/A,2017,
274,커스터드푸딩,100,126,14.7,5.5,5,N/A,67,N/A,N/A,N/A,2011,
275,커스터드푸딩,100,126,14.7,5.5,5,13.6,67,140,1.92,N/A,2017,
276,피자,150,403.5,45.15,18.15,17.85,N/A,597,N/A,N/A,N/A,2006,
277,"디럭스피자,냉동",150,346.5,29.85,15,18.6,N/A,687,N/A,N/A,N/A,2001,
278,"스페셜디럭스피자,냉동",150,391.5,37.2,13.95,20.7,N/A,819,N/A,N/A,N/A,2001,
279,"페퍼로니피자,냉동",150,444,42.75,16.8,22.8,N/A,927,N/A,N/A,N/A,2011,
280,페페로니피자,150,444,42.75,16.8,22.8,N/A,927,N/A,N/A,N/A,2006,
281,"버섯피자,냉동",150,348,35.4,16.35,15.6,N/A,816,N/A,N/A,N/A,2001,
282,"슈프림피자,냉동",100,253,23.4,10,13.3,N/A,543,N/A,N/A,N/A,2001,
283,"슈프림피자,냉동",100,233,30.4,11.3,7.3,N/A,583,N/A,N/A,N/A,2017,
284,"슈퍼슈프림피자,냉동",100,233,30.4,11.3,7.3,N/A,583,N/A,N/A,N/A,2011,
285,"슈퍼슈프림피자,냉동",100,233,30.4,11.3,7.3,N/A,583,N/A,N/A,N/A,2017,
286,"콤비네이션피자,냉동",150,372,39.15,12.75,18.3,N/A,939,N/A,N/A,N/A,2001,
287,핫도그,100,247,18.4,10.6,14.8,N/A,684,N/A,N/A,N/A,2006,
288,"핫도그,냉동",100,284,40.2,7.6,10.3,N/A,494,N/A,N/A,N/A,2006,
